"time","h","v","der(h)","der(v)","v_new","foo","flying","impact"
0.75,0.4884823204721915,0.1725597610893947,0.1725597610893947,-9.81,3.100612842801515,2,1,0
0.756,0.489341099038707,0.1136997610893947,0.1136997610893947,-9.81,3.100612842801515,2,1,0
0.762,0.4898467176052235,0.05483976108939459,0.05483976108939459,-9.81,3.100612842801515,2,1,0
0.7675901897236946,0.4899999999393718,-1.000496352432378e-10,-1.000496352432378e-10,-9.81,3.100612842801515,2,1,0
0.7675901897236946,0.4899999999393718,-1.000496352432378e-10,-1.000496352432378e-10,-9.81,3.100612842801515,2,1,0
0.768,0.4899991761711147,-0.004020238910604965,-0.004020238910604965,-9.81,3.100612842801515,2,1,0
0.774,0.4897984747373242,-0.06288023891060521,-0.06288023891060521,-9.81,3.100612842801515,2,1,0
0.78,0.4892446133037692,-0.1217402389106054,-0.1217402389106054,-9.81,3.100612842801515,2,1,0
0.786,0.4883375918702541,-0.1806002389106055,-0.1806002389106055,-9.81,3.100612842801515,2,1,0
0.792,0.4870774104367456,-0.2394602389106059,-0.2394602389106059,-9.81,3.100612842801515,2,1,0
0.798,0.4854640690032469,-0.298320238910606,-0.298320238910606,-9.81,3.100612842801515,2,1,0
0.804,0.4834975675697602,-0.357180238910606,-0.357180238910606,-9.81,3.100612842801515,2,1,0
0.8100000000000001,0.4811779061362725,-0.4160402389106057,-0.4160402389106057,-9.81,3.100612842801515,2,1,0
0.8159999999999999,0.4785050847027852,-0.4749002389106047,-0.4749002389106047,-9.81,3.100612842801515,2,1,0
0.822,0.4754791032693013,-0.5337602389106046,-0.5337602389106046,-9.81,3.100612842801515,2,1,0
0.828,0.4720999618358208,-0.5926202389106048,-0.5926202389106048,-9.81,3.100612842801515,2,1,0
0.834,0.4683676604023435,-0.6514802389106048,-0.6514802389106048,-9.81,3.100612842801515,2,1,0
0.84,0.4642821989688696,-0.7103402389106049,-0.7103402389106049,-9.81,3.100612842801515,2,1,0
0.846,0.4598435775353951,-0.7692002389106055,-0.7692002389106055,-9.81,3.100612842801515,2,1,0
0.852,0.4550517961019176,-0.8280602389106055,-0.8280602389106055,-9.81,3.100612842801515,2,1,0
0.858,0.4499068546684409,-0.8869202389106056,-0.8869202389106056,-9.81,3.100612842801515,2,1,0
0.864,0.4444087532349651,-0.9457802389106057,-0.9457802389106057,-9.81,3.100612842801515,2,1,0
0.87,0.4385574918014903,-1.004640238910606,-1.004640238910606,-9.81,3.100612842801515,2,1,0
0.876,0.4323530703680162,-1.063500238910606,-1.063500238910606,-9.81,3.100612842801515,2,1,0
0.882,0.425795488934543,-1.122360238910606,-1.122360238910606,-9.81,3.100612842801515,2,1,0
0.888,0.4188847475010706,-1.181220238910606,-1.181220238910606,-9.81,3.100612842801515,2,1,0
0.894,0.4116208460675991,-1.240080238910606,-1.240080238910606,-9.81,3.100612842801515,2,1,0
0.9,0.4040037846341284,-1.298940238910606,-1.298940238910606,-9.81,3.100612842801515,2,1,0
0.906,0.3960335632006586,-1.357800238910606,-1.357800238910606,-9.81,3.100612842801515,2,1,0
0.912,0.3877101817671896,-1.416660238910606,-1.416660238910606,-9.81,3.100612842801515,2,1,0
0.918,0.3790336403337216,-1.475520238910606,-1.475520238910606,-9.81,3.100612842801515,2,1,0
0.924,0.3700039389002505,-1.534380238910607,-1.534380238910607,-9.81,3.100612842801515,2,1,0
0.93,0.3606210774667793,-1.593240238910607,-1.593240238910607,-9.81,3.100612842801515,2,1,0
0.9360000000000001,0.3508850560333084,-1.652100238910607,-1.652100238910607,-9.81,3.100612842801515,2,1,0
0.9419999999999999,0.340795874599838,-1.710960238910606,-1.710960238910606,-9.81,3.100612842801515,2,1,0
0.948,0.3303535331663675,-1.769820238910606,-1.769820238910606,-9.81,3.100612842801515,2,1,0
0.954,0.3195580317328973,-1.828680238910606,-1.828680238910606,-9.81,3.100612842801515,2,1,0
0.96,0.3084093702994273,-1.887540238910606,-1.887540238910606,-9.81,3.100612842801515,2,1,0
0.966,0.2969075488659575,-1.946400238910606,-1.946400238910606,-9.81,3.100612842801515,2,1,0
0.972,0.285052567432488,-2.005260238910606,-2.005260238910606,-9.81,3.100612842801515,2,1,0
0.978,0.2728444259990187,-2.064120238910606,-2.064120238910606,-9.81,3.100612842801515,2,1,0
0.984,0.2602831245655496,-2.122980238910606,-2.122980238910606,-9.81,3.100612842801515,2,1,0
0.99,0.2473686631320808,-2.181840238910607,-2.181840238910607,-9.81,3.100612842801515,2,1,0
0.996,0.2341010416986122,-2.240700238910606,-2.240700238910606,-9.81,3.100612842801515,2,1,0
1.002,0.2204802602651438,-2.299560238910606,-2.299560238910606,-9.81,3.100612842801515,2,1,0
1.008,0.2065063188316758,-2.358420238910607,-2.358420238910607,-9.81,3.100612842801515,2,1,0
1.014,0.1921792173982078,-2.417280238910607,-2.417280238910607,-9.81,3.100612842801515,2,1,0
1.02,0.1774989559647402,-2.476140238910607,-2.476140238910607,-9.81,3.100612842801515,2,1,0
1.026,0.1624655345312727,-2.535000238910607,-2.535000238910607,-9.81,3.100612842801515,2,1,0
1.032,0.1470789530978056,-2.593860238910607,-2.593860238910607,-9.81,3.100612842801515,2,1,0
1.038,0.1313392116643386,-2.652720238910607,-2.652720238910607,-9.81,3.100612842801515,2,1,0
1.044,0.1152463102308719,-2.711580238910607,-2.711580238910607,-9.81,3.100612842801515,2,1,0
1.05,0.09880024879740539,-2.770440238910607,-2.770440238910607,-9.81,3.100612842801515,2,1,0
1.056,0.08200102736393912,-2.829300238910607,-2.829300238910607,-9.81,3.100612842801515,2,1,0
1.062,0.0648486459304731,-2.888160238910607,-2.888160238910607,-9.81,3.100612842801515,2,1,0
1.068,0.04734310449700729,-2.947020238910607,-2.947020238910607,-9.81,3.100612842801515,2,1,0
1.074,0.02948440306354026,-3.005880238910607,-3.005880238910607,-9.81,3.100612842801515,2,1,0
1.08,0.01127254163007263,-3.064740238910607,-3.064740238910607,-9.81,3.100612842801515,2,1,0
1.083656738415705,-1.000098996672971e-10,-3.10061284276867,-3.10061284276867,-9.81,3.100612842801515,2,1,0
1.083656738415705,-1.000098996672971e-10,2.170428989938069,2.170428989938069,-9.81,2.170428989938069,1,1,1
1.083656738507864,1.000152989759049e-10,2.170428989033986,2.170428989033986,-9.81,2.170428989938069,1,1,1
1.083656738507864,1.000152989759049e-10,2.170428989033986,2.170428989033986,-9.81,2.170428989938069,2,1,0
1.086,0.005058950027573513,2.147441593796132,2.147441593796132,-9.81,2.170428989938069,2,1,0
1.092,0.01776701958933899,2.088581593796134,2.088581593796134,-9.81,2.170428989938069,2,1,0
1.098,0.03012192915167612,2.029721593796133,2.029721593796133,-9.81,2.170428989938069,2,1,0
1.104,0.04212367871411592,1.970861593796133,1.970861593796133,-9.81,2.170428989938069,2,1,0
1.11,0.05377226827668074,1.912001593796132,1.912001593796132,-9.81,2.170428989938069,2,1,0
1.116,0.06506769783923802,1.853141593796132,1.853141593796132,-9.81,2.170428989938069,2,1,0
1.122,0.07600996740184365,1.794281593796132,1.794281593796132,-9.81,2.170428989938069,2,1,0
1.128,0.08659907696449727,1.735421593796134,1.735421593796134,-9.81,2.170428989938069,2,1,0
1.134,0.09683502652718251,1.676561593796135,1.676561593796135,-9.81,2.170428989938069,2,1,0
1.14,0.1067178160898328,1.617701593796135,1.617701593796135,-9.81,2.170428989938069,2,1,0
1.146,0.1162474456524951,1.558841593796135,1.558841593796135,-9.81,2.170428989938069,2,1,0
1.152,0.1254239152151694,1.499981593796135,1.499981593796135,-9.81,2.170428989938069,2,1,0
1.158,0.1342472247778557,1.441121593796135,1.441121593796135,-9.81,2.170428989938069,2,1,0
1.164,0.1427173743405539,1.382261593796135,1.382261593796135,-9.81,2.170428989938069,2,1,0
1.17,0.1508343639032641,1.323401593796135,1.323401593796135,-9.81,2.170428989938069,2,1,0
1.176,0.1585981934659863,1.264541593796135,1.264541593796135,-9.81,2.170428989938069,2,1,0
1.182,0.166008863028719,1.205681593796134,1.205681593796134,-9.81,2.170428989938069,2,1,0
1.188,0.1730663725914252,1.146821593796134,1.146821593796134,-9.81,2.170428989938069,2,1,0
